,Longitude,Latitude,Value
183,120.57,22.54,26.0
184,120.6,22.54,26.2
185,120.63,22.54,25.7
186,120.66,22.54,25.6
187,120.69,22.54,24.6
188,120.72,22.54,18.8
189,120.75,22.54,12.8
190,120.78,22.54,20.4
191,120.81,22.54,22.3
192,120.84,22.54,23.5
193,120.87,22.54,22.6
194,120.9,22.54,23.6
195,120.93,22.54,26.6
196,120.96,22.54,26.1
197,120.33,22.57,25.5
198,120.36,22.57,25.5
199,120.39,22.57,25.5
200,120.42,22.57,25.5
201,120.45,22.57,25.6
202,120.48,22.57,25.7
203,120.51,22.57,25.6
204,120.54,22.57,25.7
205,120.57,22.57,25.9
206,120.6,22.57,26.0
207,120.63,22.57,26.4
208,120.66,22.57,25.2
209,120.69,22.57,24.8
210,120.72,22.57,17.1
211,120.75,22.57,7.9
212,120.78,22.57,16.5
213,120.81,22.57,23.0
214,120.84,22.57,24.6
215,120.87,22.57,25.7
216,120.9,22.57,26.5
217,120.93,22.57,25.2
218,120.96,22.57,23.3
219,120.3,22.599999999999998,25.6
220,120.33,22.599999999999998,25.5
221,120.36,22.599999999999998,25.5
222,120.39,22.599999999999998,25.4
223,120.42,22.599999999999998,25.4
224,120.45,22.599999999999998,25.5
225,120.48,22.599999999999998,25.5
226,120.51,22.599999999999998,25.6
227,120.54,22.599999999999998,25.7
228,120.57,22.599999999999998,25.7
229,120.6,22.599999999999998,25.0
230,120.63,22.599999999999998,26.3
231,120.66,22.599999999999998,22.1
232,120.69,22.599999999999998,22.3
233,120.72,22.599999999999998,21.0
234,120.75,22.599999999999998,10.2
235,120.78,22.599999999999998,16.1
236,120.81,22.599999999999998,22.5
237,120.84,22.599999999999998,23.8
238,120.87,22.599999999999998,21.2
239,120.9,22.599999999999998,25.0
240,120.93,22.599999999999998,26.0
241,120.96,22.599999999999998,25.9
242,120.99,22.599999999999998,26.7
243,120.27,22.63,26.4
244,120.3,22.63,26.2
245,120.33,22.63,26.0
246,120.36,22.63,25.4
247,120.39,22.63,25.4
248,120.42,22.63,25.4
249,120.45,22.63,25.4
250,120.48,22.63,25.4
251,120.51,22.63,25.5
252,120.54,22.63,25.5
253,120.57,22.63,25.6
254,120.6,22.63,25.8
255,120.63,22.63,26.0
256,120.66,22.63,24.9
257,120.69,22.63,21.2
258,120.72,22.63,16.6
259,120.75,22.63,8.2
260,120.78,22.63,12.7
261,120.81,22.63,19.6
262,120.84,22.63,20.5
263,120.87,22.63,18.2
264,120.9,22.63,21.4
265,120.93,22.63,20.6
266,120.96,22.63,22.9
267,120.99,22.63,25.0
268,120.27,22.66,25.5
269,120.3,22.66,25.6
270,120.33,22.66,25.4
271,120.36,22.66,25.3
272,120.39,22.66,25.3
273,120.42,22.66,25.3
274,120.45,22.66,25.3
275,120.48,22.66,24.5
276,120.51,22.66,25.4
277,120.54,22.66,25.5
278,120.57,22.66,25.5
279,120.6,22.66,25.5
280,120.63,22.66,25.7
