,Longitude,Latitude,Label
0,120.0,21.88,0
1,120.03,21.88,0
2,120.06,21.88,0
3,120.09,21.88,0
4,120.12,21.88,0
5,120.15,21.88,0
6,120.18,21.88,0
7,120.21,21.88,0
8,120.24,21.88,0
9,120.27,21.88,0
10,120.3,21.88,0
11,120.33,21.88,0
12,120.36,21.88,0
13,120.39,21.88,0
14,120.42,21.88,0
15,120.45,21.88,0
16,120.48,21.88,0
17,120.51,21.88,0
18,120.54,21.88,0
19,120.57,21.88,0
20,120.6,21.88,0
21,120.63,21.88,0
22,120.66,21.88,0
23,120.69,21.88,0
24,120.72,21.88,0
25,120.75,21.88,0
26,120.78,21.88,0
27,120.81,21.88,0
28,120.84,21.88,0
29,120.87,21.88,0
30,120.9,21.88,0
31,120.93,21.88,0
32,120.96,21.88,0
33,120.99,21.88,0
34,121.02,21.88,0
35,121.05,21.88,0
36,121.08,21.88,0
37,121.11,21.88,0
38,121.14,21.88,0
39,121.17,21.88,0
40,121.2,21.88,0
41,121.23,21.88,0
42,121.26,21.88,0
43,121.29,21.88,0
44,121.32,21.88,0
45,121.35,21.88,0
46,121.38,21.88,0
47,121.41,21.88,0
48,121.44,21.88,0
49,121.47,21.88,0
50,121.5,21.88,0
51,121.53,21.88,0
52,121.56,21.88,0
53,121.59,21.88,0
54,121.62,21.88,0
55,121.65,21.88,0
56,121.68,21.88,0
57,121.71,21.88,0
58,121.74,21.88,0
59,121.77,21.88,0
60,121.8,21.88,0
61,121.83,21.88,0
62,121.86,21.88,0
63,121.89,21.88,0
64,121.92,21.88,0
65,121.95,21.88,0
66,121.98,21.88,0
67,120.0,21.91,0
68,120.03,21.91,0
69,120.06,21.91,0
70,120.09,21.91,0
71,120.12,21.91,0
72,120.15,21.91,0
73,120.18,21.91,0
74,120.21,21.91,0
75,120.24,21.91,0
76,120.27,21.91,0
77,120.3,21.91,0
78,120.33,21.91,0
79,120.36,21.91,0
80,120.39,21.91,0
81,120.42,21.91,0
82,120.45,21.91,0
83,120.48,21.91,0
84,120.51,21.91,0
85,120.54,21.91,0
86,120.57,21.91,0
87,120.6,21.91,0
88,120.63,21.91,0
89,120.66,21.91,0
90,120.69,21.91,0
91,120.72,21.91,0
92,120.75,21.91,0
93,120.78,21.91,0
94,120.81,21.91,0
95,120.84,21.91,0
96,120.87,21.91,0
97,120.9,21.91,0
98,120.93,21.91,0
99,120.96,21.91,0
100,120.99,21.91,0
101,121.02,21.91,0
102,121.05,21.91,0
103,121.08,21.91,0
104,121.11,21.91,0
105,121.14,21.91,0
106,121.17,21.91,0
107,121.2,21.91,0
108,121.23,21.91,0
109,121.26,21.91,0
110,121.29,21.91,0
111,121.32,21.91,0
112,121.35,21.91,0
113,121.38,21.91,0
114,121.41,21.91,0
115,121.44,21.91,0
116,121.47,21.91,0
117,121.5,21.91,0
118,121.53,21.91,0
119,121.56,21.91,0
120,121.59,21.91,0
121,121.62,21.91,0
122,121.65,21.91,0
123,121.68,21.91,0
124,121.71,21.91,0
125,121.74,21.91,0
126,121.77,21.91,0
127,121.8,21.91,0
128,121.83,21.91,0
129,121.86,21.91,0
130,121.89,21.91,0
131,121.92,21.91,0
132,121.95,21.91,0
133,121.98,21.91,0
134,120.0,21.939999999999998,0
135,120.03,21.939999999999998,0
136,120.06,21.939999999999998,0
137,120.09,21.939999999999998,0
138,120.12,21.939999999999998,0
139,120.15,21.939999999999998,0
140,120.18,21.939999999999998,0
141,120.21,21.939999999999998,0
142,120.24,21.939999999999998,0
143,120.27,21.939999999999998,0
144,120.3,21.939999999999998,0
145,120.33,21.939999999999998,0
146,120.36,21.939999999999998,0
147,120.39,21.939999999999998,0
148,120.42,21.939999999999998,0
149,120.45,21.939999999999998,0
150,120.48,21.939999999999998,0
151,120.51,21.939999999999998,0
152,120.54,21.939999999999998,0
153,120.57,21.939999999999998,0
154,120.6,21.939999999999998,0
155,120.63,21.939999999999998,0
156,120.66,21.939999999999998,0
157,120.69,21.939999999999998,0
158,120.72,21.939999999999998,0
159,120.75,21.939999999999998,0
160,120.78,21.939999999999998,0
161,120.81,21.939999999999998,0
162,120.84,21.939999999999998,1
163,120.87,21.939999999999998,0
164,120.9,21.939999999999998,0
165,120.93,21.939999999999998,0
166,120.96,21.939999999999998,0
167,120.99,21.939999999999998,0
168,121.02,21.939999999999998,0
169,121.05,21.939999999999998,0
170,121.08,21.939999999999998,0
171,121.11,21.939999999999998,0
172,121.14,21.939999999999998,0
173,121.17,21.939999999999998,0
174,121.2,21.939999999999998,0
175,121.23,21.939999999999998,0
176,121.26,21.939999999999998,0
177,121.29,21.939999999999998,0
178,121.32,21.939999999999998,0
179,121.35,21.939999999999998,0
180,121.38,21.939999999999998,0
181,121.41,21.939999999999998,0
182,121.44,21.939999999999998,0
183,121.47,21.939999999999998,0
184,121.5,21.939999999999998,0
185,121.53,21.939999999999998,0
186,121.56,21.939999999999998,0
187,121.59,21.939999999999998,0
188,121.62,21.939999999999998,0
189,121.65,21.939999999999998,0
190,121.68,21.939999999999998,0
191,121.71,21.939999999999998,0
192,121.74,21.939999999999998,0
193,121.77,21.939999999999998,0
194,121.8,21.939999999999998,0
195,121.83,21.939999999999998,0
196,121.86,21.939999999999998,0
197,121.89,21.939999999999998,0
198,121.92,21.939999999999998,0
199,121.95,21.939999999999998,0
200,121.98,21.939999999999998,0
201,120.0,21.97,0
202,120.03,21.97,0
203,120.06,21.97,0
204,120.09,21.97,0
205,120.12,21.97,0
206,120.15,21.97,0
207,120.18,21.97,0
208,120.21,21.97,0
209,120.24,21.97,0
210,120.27,21.97,0
211,120.3,21.97,0
212,120.33,21.97,0
213,120.36,21.97,0
214,120.39,21.97,0
215,120.42,21.97,0
216,120.45,21.97,0
217,120.48,21.97,0
218,120.51,21.97,0
219,120.54,21.97,0
220,120.57,21.97,0
221,120.6,21.97,0
222,120.63,21.97,0
223,120.66,21.97,0
224,120.69,21.97,0
225,120.72,21.97,1
226,120.75,21.97,1
227,120.78,21.97,1
228,120.81,21.97,1
229,120.84,21.97,1
230,120.87,21.97,0
231,120.9,21.97,0
232,120.93,21.97,0
233,120.96,21.97,0
234,120.99,21.97,0
235,121.02,21.97,0
236,121.05,21.97,0
237,121.08,21.97,0
238,121.11,21.97,0
239,121.14,21.97,0
240,121.17,21.97,0
241,121.2,21.97,0
242,121.23,21.97,0
243,121.26,21.97,0
244,121.29,21.97,0
245,121.32,21.97,0
246,121.35,21.97,0
247,121.38,21.97,0
248,121.41,21.97,0
249,121.44,21.97,0
250,121.47,21.97,0
251,121.5,21.97,0
252,121.53,21.97,0
253,121.56,21.97,0
254,121.59,21.97,0
255,121.62,21.97,0
256,121.65,21.97,0
257,121.68,21.97,0
258,121.71,21.97,0
259,121.74,21.97,0
260,121.77,21.97,0
261,121.8,21.97,0
262,121.83,21.97,0
263,121.86,21.97,0
264,121.89,21.97,0
265,121.92,21.97,0
266,121.95,21.97,0
267,121.98,21.97,0
268,120.0,22.0,0
269,120.03,22.0,0
270,120.06,22.0,0
271,120.09,22.0,0
272,120.12,22.0,0
273,120.15,22.0,0
274,120.18,22.0,0
275,120.21,22.0,0
276,120.24,22.0,0
277,120.27,22.0,0
278,120.3,22.0,0
279,120.33,22.0,0
280,120.36,22.0,0
281,120.39,22.0,0
282,120.42,22.0,0
283,120.45,22.0,0
284,120.48,22.0,0
285,120.51,22.0,0
286,120.54,22.0,0
287,120.57,22.0,0
288,120.6,22.0,0
289,120.63,22.0,0
290,120.66,22.0,0
291,120.69,22.0,0
292,120.72,22.0,1
293,120.75,22.0,1
294,120.78,22.0,1
295,120.81,22.0,1
296,120.84,22.0,1
297,120.87,22.0,0
298,120.9,22.0,0
299,120.93,22.0,0
300,120.96,22.0,0
301,120.99,22.0,0
302,121.02,22.0,0
303,121.05,22.0,0
304,121.08,22.0,0
305,121.11,22.0,0
306,121.14,22.0,0
307,121.17,22.0,0
308,121.2,22.0,0
309,121.23,22.0,0
310,121.26,22.0,0
311,121.29,22.0,0
312,121.32,22.0,0
313,121.35,22.0,0
314,121.38,22.0,0
315,121.41,22.0,0
316,121.44,22.0,0
317,121.47,22.0,0
318,121.5,22.0,0
319,121.53,22.0,0
320,121.56,22.0,0
321,121.59,22.0,0
322,121.62,22.0,0
323,121.65,22.0,0
324,121.68,22.0,0
325,121.71,22.0,0
326,121.74,22.0,0
327,121.77,22.0,0
328,121.8,22.0,0
329,121.83,22.0,0
330,121.86,22.0,0
331,121.89,22.0,0
332,121.92,22.0,0
333,121.95,22.0,0
334,121.98,22.0,0
335,120.0,22.029999999999998,0
336,120.03,22.029999999999998,0
337,120.06,22.029999999999998,0
338,120.09,22.029999999999998,0
339,120.12,22.029999999999998,0
340,120.15,22.029999999999998,0
341,120.18,22.029999999999998,0
342,120.21,22.029999999999998,0
343,120.24,22.029999999999998,0
344,120.27,22.029999999999998,0
345,120.3,22.029999999999998,0
346,120.33,22.029999999999998,0
347,120.36,22.029999999999998,0
348,120.39,22.029999999999998,0
349,120.42,22.029999999999998,0
350,120.45,22.029999999999998,0
351,120.48,22.029999999999998,0
352,120.51,22.029999999999998,0
353,120.54,22.029999999999998,0
354,120.57,22.029999999999998,0
355,120.6,22.029999999999998,0
356,120.63,22.029999999999998,0
357,120.66,22.029999999999998,0
358,120.69,22.029999999999998,0
359,120.72,22.029999999999998,1
360,120.75,22.029999999999998,1
361,120.78,22.029999999999998,1
362,120.81,22.029999999999998,1
363,120.84,22.029999999999998,1
364,120.87,22.029999999999998,1
365,120.9,22.029999999999998,0
366,120.93,22.029999999999998,0
367,120.96,22.029999999999998,0
368,120.99,22.029999999999998,0
369,121.02,22.029999999999998,0
370,121.05,22.029999999999998,0
371,121.08,22.029999999999998,0
372,121.11,22.029999999999998,0
373,121.14,22.029999999999998,0
374,121.17,22.029999999999998,0
375,121.2,22.029999999999998,0
376,121.23,22.029999999999998,0
377,121.26,22.029999999999998,0
378,121.29,22.029999999999998,0
379,121.32,22.029999999999998,0
380,121.35,22.029999999999998,0
381,121.38,22.029999999999998,0
382,121.41,22.029999999999998,0
383,121.44,22.029999999999998,0
384,121.47,22.029999999999998,0
385,121.5,22.029999999999998,0
386,121.53,22.029999999999998,0
387,121.56,22.029999999999998,1
388,121.59,22.029999999999998,0
389,121.62,22.029999999999998,0
390,121.65,22.029999999999998,0
391,121.68,22.029999999999998,0
392,121.71,22.029999999999998,0
393,121.74,22.029999999999998,0
394,121.77,22.029999999999998,0
395,121.8,22.029999999999998,0
396,121.83,22.029999999999998,0
397,121.86,22.029999999999998,0
398,121.89,22.029999999999998,0
399,121.92,22.029999999999998,0
400,121.95,22.029999999999998,0
401,121.98,22.029999999999998,0
402,120.0,22.06,0
403,120.03,22.06,0
404,120.06,22.06,0
405,120.09,22.06,0
406,120.12,22.06,0
407,120.15,22.06,0
408,120.18,22.06,0
409,120.21,22.06,0
410,120.24,22.06,0
411,120.27,22.06,0
412,120.3,22.06,0
413,120.33,22.06,0
414,120.36,22.06,0
415,120.39,22.06,0
416,120.42,22.06,0
417,120.45,22.06,0
418,120.48,22.06,0
419,120.51,22.06,0
420,120.54,22.06,0
421,120.57,22.06,0
422,120.6,22.06,0
423,120.63,22.06,0
424,120.66,22.06,0
425,120.69,22.06,0
426,120.72,22.06,1
427,120.75,22.06,1
428,120.78,22.06,1
429,120.81,22.06,1
430,120.84,22.06,1
431,120.87,22.06,1
432,120.9,22.06,0
433,120.93,22.06,0
434,120.96,22.06,0
435,120.99,22.06,0
436,121.02,22.06,0
437,121.05,22.06,0
438,121.08,22.06,0
439,121.11,22.06,0
440,121.14,22.06,0
441,121.17,22.06,0
442,121.2,22.06,0
443,121.23,22.06,0
444,121.26,22.06,0
445,121.29,22.06,0
446,121.32,22.06,0
447,121.35,22.06,0
448,121.38,22.06,0
449,121.41,22.06,0
450,121.44,22.06,0
451,121.47,22.06,0
452,121.5,22.06,0
453,121.53,22.06,1
454,121.56,22.06,0
455,121.59,22.06,0
456,121.62,22.06,0
457,121.65,22.06,0
458,121.68,22.06,0
459,121.71,22.06,0
460,121.74,22.06,0
461,121.77,22.06,0
462,121.8,22.06,0
463,121.83,22.06,0
464,121.86,22.06,0
465,121.89,22.06,0
466,121.92,22.06,0
467,121.95,22.06,0
468,121.98,22.06,0
469,120.0,22.09,0
470,120.03,22.09,0
471,120.06,22.09,0
472,120.09,22.09,0
473,120.12,22.09,0
474,120.15,22.09,0
475,120.18,22.09,0
476,120.21,22.09,0
477,120.24,22.09,0
478,120.27,22.09,0
479,120.3,22.09,0
480,120.33,22.09,0
481,120.36,22.09,0
482,120.39,22.09,0
483,120.42,22.09,0
484,120.45,22.09,0
485,120.48,22.09,0
486,120.51,22.09,0
487,120.54,22.09,0
488,120.57,22.09,0
489,120.6,22.09,0
490,120.63,22.09,0
491,120.66,22.09,0
492,120.69,22.09,0
493,120.72,22.09,1
494,120.75,22.09,1
495,120.78,22.09,1
496,120.81,22.09,1
497,120.84,22.09,1
498,120.87,22.09,1
499,120.9,22.09,0
500,120.93,22.09,0
501,120.96,22.09,0
502,120.99,22.09,0
503,121.02,22.09,0
504,121.05,22.09,0
505,121.08,22.09,0
506,121.11,22.09,0
507,121.14,22.09,0
508,121.17,22.09,0
509,121.2,22.09,0
510,121.23,22.09,0
511,121.26,22.09,0
512,121.29,22.09,0
513,121.32,22.09,0
514,121.35,22.09,0
515,121.38,22.09,0
516,121.41,22.09,0
517,121.44,22.09,0
518,121.47,22.09,0
519,121.5,22.09,0
520,121.53,22.09,0
521,121.56,22.09,0
522,121.59,22.09,0
523,121.62,22.09,0
524,121.65,22.09,0
525,121.68,22.09,0
526,121.71,22.09,0
527,121.74,22.09,0
528,121.77,22.09,0
529,121.8,22.09,0
530,121.83,22.09,0
531,121.86,22.09,0
532,121.89,22.09,0
533,121.92,22.09,0
534,121.95,22.09,0
535,121.98,22.09,0
536,120.0,22.119999999999997,0
537,120.03,22.119999999999997,0
538,120.06,22.119999999999997,0
539,120.09,22.119999999999997,0
540,120.12,22.119999999999997,0
541,120.15,22.119999999999997,0
542,120.18,22.119999999999997,0
543,120.21,22.119999999999997,0
544,120.24,22.119999999999997,0
545,120.27,22.119999999999997,0
546,120.3,22.119999999999997,0
547,120.33,22.119999999999997,0
548,120.36,22.119999999999997,0
549,120.39,22.119999999999997,0
550,120.42,22.119999999999997,0
551,120.45,22.119999999999997,0
552,120.48,22.119999999999997,0
553,120.51,22.119999999999997,0
554,120.54,22.119999999999997,0
555,120.57,22.119999999999997,0
556,120.6,22.119999999999997,0
557,120.63,22.119999999999997,0
558,120.66,22.119999999999997,0
559,120.69,22.119999999999997,0
560,120.72,22.119999999999997,1
561,120.75,22.119999999999997,1
562,120.78,22.119999999999997,1
563,120.81,22.119999999999997,1
564,120.84,22.119999999999997,1
565,120.87,22.119999999999997,1
566,120.9,22.119999999999997,0
567,120.93,22.119999999999997,0
568,120.96,22.119999999999997,0
569,120.99,22.119999999999997,0
570,121.02,22.119999999999997,0
571,121.05,22.119999999999997,0
572,121.08,22.119999999999997,0
573,121.11,22.119999999999997,0
574,121.14,22.119999999999997,0
575,121.17,22.119999999999997,0
576,121.2,22.119999999999997,0
577,121.23,22.119999999999997,0
578,121.26,22.119999999999997,0
579,121.29,22.119999999999997,0
580,121.32,22.119999999999997,0
581,121.35,22.119999999999997,0
582,121.38,22.119999999999997,0
583,121.41,22.119999999999997,0
584,121.44,22.119999999999997,0
585,121.47,22.119999999999997,0
586,121.5,22.119999999999997,0
587,121.53,22.119999999999997,0
588,121.56,22.119999999999997,0
589,121.59,22.119999999999997,0
590,121.62,22.119999999999997,0
591,121.65,22.119999999999997,0
592,121.68,22.119999999999997,0
593,121.71,22.119999999999997,0
594,121.74,22.119999999999997,0
595,121.77,22.119999999999997,0
596,121.8,22.119999999999997,0
597,121.83,22.119999999999997,0
598,121.86,22.119999999999997,0
599,121.89,22.119999999999997,0
600,121.92,22.119999999999997,0
601,121.95,22.119999999999997,0
602,121.98,22.119999999999997,0
603,120.0,22.15,0
604,120.03,22.15,0
605,120.06,22.15,0
606,120.09,22.15,0
607,120.12,22.15,0
608,120.15,22.15,0
609,120.18,22.15,0
610,120.21,22.15,0
611,120.24,22.15,0
612,120.27,22.15,0
613,120.3,22.15,0
614,120.33,22.15,0
615,120.36,22.15,0
616,120.39,22.15,0
617,120.42,22.15,0
618,120.45,22.15,0
619,120.48,22.15,0
620,120.51,22.15,0
621,120.54,22.15,0
622,120.57,22.15,0
623,120.6,22.15,0
624,120.63,22.15,0
625,120.66,22.15,0
626,120.69,22.15,0
627,120.72,22.15,1
628,120.75,22.15,1
629,120.78,22.15,1
630,120.81,22.15,1
631,120.84,22.15,1
632,120.87,22.15,1
633,120.9,22.15,0
634,120.93,22.15,0
635,120.96,22.15,0
636,120.99,22.15,0
637,121.02,22.15,0
638,121.05,22.15,0
639,121.08,22.15,0
640,121.11,22.15,0
641,121.14,22.15,0
642,121.17,22.15,0
643,121.2,22.15,0
644,121.23,22.15,0
645,121.26,22.15,0
646,121.29,22.15,0
647,121.32,22.15,0
648,121.35,22.15,0
649,121.38,22.15,0
650,121.41,22.15,0
651,121.44,22.15,0
652,121.47,22.15,0
653,121.5,22.15,0
654,121.53,22.15,0
655,121.56,22.15,0
656,121.59,22.15,0
657,121.62,22.15,0
658,121.65,22.15,0
659,121.68,22.15,0
660,121.71,22.15,0
661,121.74,22.15,0
662,121.77,22.15,0
663,121.8,22.15,0
664,121.83,22.15,0
665,121.86,22.15,0
666,121.89,22.15,0
667,121.92,22.15,0
668,121.95,22.15,0
669,121.98,22.15,0
670,120.0,22.18,0
